id,nome,peso,altura,tipo1,tipo2,url,abilities,evolutions
20,Raticate,18.5 kg (40.8 lbs),0.7 m (2′04″),Normal,Normal,https://pokemondb.net/pokedex/raticate,"[{'nome': 'Hustle', 'text': ""increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%. If a Pokémon with   is the leading party Pokémon, wild Pokémon are 50% more likely to be higher level."", 'url': 'https://pokemondb.net/ability/hustle'}, {'nome': 'Run Away', 'text': 'allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like   or  , or has an ability such as  . Pokémon with   cannot switch out for another Pokémon, only flee. It does not allow the Pokémon to flee from Trainer battles.', 'url': 'https://pokemondb.net/ability/run-away'}]","[{'IdEvolucao': '#0019', 'NomeEvolucao': 'Rattata', 'UrlEvolucao': 'https://pokemondb.net/pokedex/rattata'}, {'IdEvolucao': '#0020', 'NomeEvolucao': 'Raticate', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raticate'}, {'IdEvolucao': '#0019', 'NomeEvolucao': 'Rattata', 'UrlEvolucao': 'https://pokemondb.net/pokedex/rattata'}, {'IdEvolucao': '#0020', 'NomeEvolucao': 'Raticate', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raticate'}]"
1010,Iron Leaves,125.0 kg (275.6 lbs),1.5 m (4′11″),Grass,Psychic,https://pokemondb.net/pokedex/iron-leaves,"[{'nome': 'Quark Drive', 'text': 'Raises highest stat on Electric Terrain, or if holding Booster Energy.\n No Pokémon have   as a hidden ability.', 'url': 'https://pokemondb.net/ability/quark-drive'}]",
18,Pidgeot,39.5 kg (87.1 lbs),1.5 m (4′11″),Normal,Flying,https://pokemondb.net/pokedex/pidgeot,"[{'nome': 'No Guard', 'text': 'ensures that all attacks used by, and targeted at, the ability-bearer hit without fail. This includes moves used on a Pokémon in the   stages of the moves  ,  ,   and  . If a Pokémon with   is the leading party Pokémon, wild Pokémon are twice as likely to appear.', 'url': 'https://pokemondb.net/ability/no-guard'}, {'nome': 'Tangled Feet', 'text': 'Raises evasion if the Pokémon is confused.', 'url': 'https://pokemondb.net/ability/tangled-feet'}, {'nome': 'Keen Eye', 'text': 'prevents the Pokémon from losing accuracy, for example from moves like  . If a Pokémon with   is the leading party Pokémon, wild Pokémon are 50% less likely to be lower level.', 'url': 'https://pokemondb.net/ability/keen-eye'}]","[{'IdEvolucao': '#0016', 'NomeEvolucao': 'Pidgey', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pidgey'}, {'IdEvolucao': '#0017', 'NomeEvolucao': 'Pidgeotto', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pidgeotto'}, {'IdEvolucao': '#0018', 'NomeEvolucao': 'Pidgeot', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pidgeot'}]"
20,Raticate,18.5 kg (40.8 lbs),0.7 m (2′04″),Normal,Normal,https://pokemondb.net/pokedex/raticate,"[{'nome': 'Hustle', 'text': ""increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%. If a Pokémon with   is the leading party Pokémon, wild Pokémon are 50% more likely to be higher level."", 'url': 'https://pokemondb.net/ability/hustle'}, {'nome': 'Run Away', 'text': 'allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like   or  , or has an ability such as  . Pokémon with   cannot switch out for another Pokémon, only flee. It does not allow the Pokémon to flee from Trainer battles.', 'url': 'https://pokemondb.net/ability/run-away'}, {'nome': 'Gluttony', 'text': 'A Pokémon with   will use a   when its HP drops to 50%, rather than the usual 25%. Pinch berries are: Figy, Wiki, Mago, Aguav, Iapapa, Liechi, Ganlon, Salac, Petaya, Apicot, Lansat, Starf, Micle and Custap. (Their descriptions state that they work  )', 'url': 'https://pokemondb.net/ability/gluttony'}]","[{'IdEvolucao': '#0019', 'NomeEvolucao': 'Rattata', 'UrlEvolucao': 'https://pokemondb.net/pokedex/rattata'}, {'IdEvolucao': '#0020', 'NomeEvolucao': 'Raticate', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raticate'}, {'IdEvolucao': '#0019', 'NomeEvolucao': 'Rattata', 'UrlEvolucao': 'https://pokemondb.net/pokedex/rattata'}, {'IdEvolucao': '#0020', 'NomeEvolucao': 'Raticate', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raticate'}]"
30,Nidorina,20.0 kg (44.1 lbs),0.8 m (2′07″),Poison,,https://pokemondb.net/pokedex/nidorina,"[{'nome': 'Rivalry', 'text': 'Deals more damage to a Pokémon of same gender.', 'url': 'https://pokemondb.net/ability/rivalry'}, {'nome': 'Poison Point', 'text': 'Contact with the Pokémon may poison the attacker.\n No Pokémon have   as a hidden ability.', 'url': 'https://pokemondb.net/ability/poison-point'}]","[{'IdEvolucao': '#0029', 'NomeEvolucao': 'Nidoran♀', 'UrlEvolucao': 'https://pokemondb.net/pokedex/nidoran-f'}, {'IdEvolucao': '#0030', 'NomeEvolucao': 'Nidorina', 'UrlEvolucao': 'https://pokemondb.net/pokedex/nidorina'}, {'IdEvolucao': '#0031', 'NomeEvolucao': 'Nidoqueen', 'UrlEvolucao': 'https://pokemondb.net/pokedex/nidoqueen'}]"
20,Raticate,18.5 kg (40.8 lbs),0.7 m (2′04″),Normal,Normal,https://pokemondb.net/pokedex/raticate,"[{'nome': 'Hustle', 'text': ""increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%. If a Pokémon with   is the leading party Pokémon, wild Pokémon are 50% more likely to be higher level."", 'url': 'https://pokemondb.net/ability/hustle'}, {'nome': 'Run Away', 'text': 'allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like   or  , or has an ability such as  . Pokémon with   cannot switch out for another Pokémon, only flee. It does not allow the Pokémon to flee from Trainer battles.', 'url': 'https://pokemondb.net/ability/run-away'}, {'nome': 'Gluttony', 'text': 'A Pokémon with   will use a   when its HP drops to 50%, rather than the usual 25%. Pinch berries are: Figy, Wiki, Mago, Aguav, Iapapa, Liechi, Ganlon, Salac, Petaya, Apicot, Lansat, Starf, Micle and Custap. (Their descriptions state that they work  )', 'url': 'https://pokemondb.net/ability/gluttony'}, {'nome': 'Guts', 'text': ""raises the ability-bearer's Attack by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If burnt, the Pokémon does not suffer the usual drop in Attack. All other effects of the status condition remain, e.g. losing HP each turn (poison, burn), speed drop (paralysis) or being unable to attack (paralysis, freeze, sleep)."", 'url': 'https://pokemondb.net/ability/guts'}]","[{'IdEvolucao': '#0019', 'NomeEvolucao': 'Rattata', 'UrlEvolucao': 'https://pokemondb.net/pokedex/rattata'}, {'IdEvolucao': '#0020', 'NomeEvolucao': 'Raticate', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raticate'}, {'IdEvolucao': '#0019', 'NomeEvolucao': 'Rattata', 'UrlEvolucao': 'https://pokemondb.net/pokedex/rattata'}, {'IdEvolucao': '#0020', 'NomeEvolucao': 'Raticate', 'UrlEvolucao': 'https://pokemondb.net/pokedex/raticate'}]"
1009,Walking Wake,280.0 kg (617.3 lbs),3.5 m (11′06″),Water,Dragon,https://pokemondb.net/pokedex/walking-wake,"[{'nome': 'Protosynthesis', 'text': 'Raises highest stat in harsh sunlight, or if holding Booster Energy.\n No Pokémon have   as a hidden ability.', 'url': 'https://pokemondb.net/ability/protosynthesis'}]",
1004,Chi-Yu,4.9 kg (10.8 lbs),0.4 m (1′04″),Dark,Fire,https://pokemondb.net/pokedex/chi-yu,"[{'nome': 'Beads of Ruin', 'text': 'Lowers Special Defense of all Pokémon except itself.\n No Pokémon have   as a hidden ability.', 'url': 'https://pokemondb.net/ability/beads-of-ruin'}]",
27,Sandshrew,12.0 kg (26.5 lbs),0.6 m (2′00″),Ground,Steel,https://pokemondb.net/pokedex/sandshrew,"[{'nome': 'Snow Cloak', 'text': ""raises ability-bearer's evasion by 20% in a hail storm. It also gives immunity to damage by hail (if they are not already protected by being   type). If a Pokémon with   is the leading party Pokémon while travelling in a hail storm/blizzard, wild Pokémon are only half as likely to appear."", 'url': 'https://pokemondb.net/ability/snow-cloak'}, {'nome': 'Sand Veil', 'text': ""raises the ability-bearer's evasion by 20% in a  . It also gives immunity to sandstorm damage (if they are not already protected by being  / /  type). If a Pokémon with   is the leading party Pokémon while travelling in a sandstorm, wild Pokémon are only half as likely to appear."", 'url': 'https://pokemondb.net/ability/sand-veil'}]","[{'IdEvolucao': '#0027', 'NomeEvolucao': 'Sandshrew', 'UrlEvolucao': 'https://pokemondb.net/pokedex/sandshrew'}, {'IdEvolucao': '#0028', 'NomeEvolucao': 'Sandslash', 'UrlEvolucao': 'https://pokemondb.net/pokedex/sandslash'}, {'IdEvolucao': '#0027', 'NomeEvolucao': 'Sandshrew', 'UrlEvolucao': 'https://pokemondb.net/pokedex/sandshrew'}, {'IdEvolucao': '#0028', 'NomeEvolucao': 'Sandslash', 'UrlEvolucao': 'https://pokemondb.net/pokedex/sandslash'}]"
1008,Miraidon,240.0 kg (529.1 lbs),3.5 m (11′06″),Electric,Dragon,https://pokemondb.net/pokedex/miraidon,"[{'nome': 'Hadron Engine', 'text': 'Creates an Electric Terrain when entering battle, and boosts Special Attack while active.\n No Pokémon have   as a hidden ability.', 'url': 'https://pokemondb.net/ability/hadron-engine'}]",
998,Baxcalibur,210.0 kg (463.0 lbs),2.1 m (6′11″),Dragon,Ice,https://pokemondb.net/pokedex/baxcalibur,"[{'nome': 'Thermal Exchange', 'text': 'Raises Attack when hit by a Fire-type move. Cannot be burned.\n No Pokémon have   as a hidden ability.', 'url': 'https://pokemondb.net/ability/thermal-exchange'}]","[{'IdEvolucao': '#0996', 'NomeEvolucao': 'Frigibax', 'UrlEvolucao': 'https://pokemondb.net/pokedex/frigibax'}, {'IdEvolucao': '#0997', 'NomeEvolucao': 'Arctibax', 'UrlEvolucao': 'https://pokemondb.net/pokedex/arctibax'}, {'IdEvolucao': '#0998', 'NomeEvolucao': 'Baxcalibur', 'UrlEvolucao': 'https://pokemondb.net/pokedex/baxcalibur'}]"
1007,Koraidon,303.0 kg (668.0 lbs),2.5 m (8′02″),Fighting,Dragon,https://pokemondb.net/pokedex/koraidon,"[{'nome': 'Orichalcum Pulse', 'text': 'Turns the sunlight harsh when entering battle, and boosts Attack while active.\n No Pokémon have   as a hidden ability.', 'url': 'https://pokemondb.net/ability/orichalcum-pulse'}]",
1002,Chien-Pao,152.2 kg (335.5 lbs),1.9 m (6′03″),Dark,Ice,https://pokemondb.net/pokedex/chien-pao,"[{'nome': 'Sword of Ruin', 'text': 'Lowers Defense of all Pokémon except itself.\n No Pokémon have   as a hidden ability.', 'url': 'https://pokemondb.net/ability/sword-of-ruin'}]",
1001,Wo-Chien,74.2 kg (163.6 lbs),1.5 m (4′11″),Dark,Grass,https://pokemondb.net/pokedex/wo-chien,"[{'nome': 'Tablets of Ruin', 'text': 'Lowers Attack of all Pokémon except itself.\n No Pokémon have   as a hidden ability.', 'url': 'https://pokemondb.net/ability/tablets-of-ruin'}]",
1003,Ting-Lu,699.7 kg (1542.6 lbs),2.7 m (8′10″),Dark,Ground,https://pokemondb.net/pokedex/ting-lu,"[{'nome': 'Vessel of Ruin', 'text': 'Lowers Special Attack of all Pokémon except itself.\n No Pokémon have   as a hidden ability.', 'url': 'https://pokemondb.net/ability/vessel-of-ruin'}]",
1000,Gholdengo,30.0 kg (66.1 lbs),1.2 m (3′11″),Steel,Ghost,https://pokemondb.net/pokedex/gholdengo,"[{'nome': 'Good as Gold', 'text': 'Gives immunity to status moves.\n No Pokémon have   as a hidden ability.', 'url': 'https://pokemondb.net/ability/good-as-gold'}]","[{'IdEvolucao': '#0999', 'NomeEvolucao': 'Gimmighoul', 'UrlEvolucao': 'https://pokemondb.net/pokedex/gimmighoul'}, {'IdEvolucao': '#1000', 'NomeEvolucao': 'Gholdengo', 'UrlEvolucao': 'https://pokemondb.net/pokedex/gholdengo'}]"
999,Gimmighoul,5.0 kg (11.0 lbs),0.3 m (1′00″),Ghost,,https://pokemondb.net/pokedex/gimmighoul,"[{'nome': 'Rattled', 'text': 'When a Pokémon with   is hit by a  ,   or   type move, its Speed is raised one stage (up to the usual maximum of +6 stages).', 'url': 'https://pokemondb.net/ability/rattled'}]","[{'IdEvolucao': '#0999', 'NomeEvolucao': 'Gimmighoul', 'UrlEvolucao': 'https://pokemondb.net/pokedex/gimmighoul'}, {'IdEvolucao': '#1000', 'NomeEvolucao': 'Gholdengo', 'UrlEvolucao': 'https://pokemondb.net/pokedex/gholdengo'}]"
982,Dudunsparce,39.2 kg (86.4 lbs),3.6 m (11′10″),Normal,,https://pokemondb.net/pokedex/dudunsparce,"[{'nome': 'Serene Grace', 'text': ""doubles the chance of moves' secondary effects occurring - specifically stat changes, status ailments, or flinching. It also increases the chance of flinching due to the held items   and   from 10% to 20% (however, note that those items do not affect moves that already have a flinch chance).  does not affect status moves or the Pokémon's critical hit ratio.  normally has a 20% chance of lowering Special Defense; with   it is boosted to a 40% chance.  has a 30% of causing the target to flinch; with   it is boosted to a 60% chance. If the item   is held it does not increase that percentage, but rather if the move does not cause flinching (40% chance), then there is now a further 20% chance the target will flinch from  . This means   with   and   gives a total probability of 68% (1 - 0.4*0.8) that the opponent will flinch. In     does not increase the flinch chance of   or Razor Fang. In     does not affect the move  ."", 'url': 'https://pokemondb.net/ability/serene-grace'}]","[{'IdEvolucao': '#0206', 'NomeEvolucao': 'Dunsparce', 'UrlEvolucao': 'https://pokemondb.net/pokedex/dunsparce'}, {'IdEvolucao': '#0982', 'NomeEvolucao': 'Dudunsparce', 'UrlEvolucao': 'https://pokemondb.net/pokedex/dudunsparce'}, {'IdEvolucao': '#0982', 'NomeEvolucao': 'Dudunsparce', 'UrlEvolucao': 'https://pokemondb.net/pokedex/dudunsparce'}]"
978,Tatsugiri,8.0 kg (17.6 lbs),0.3 m (1′00″),Dragon,Water,https://pokemondb.net/pokedex/tatsugiri,"[{'nome': 'Commander', 'text': 'Goes inside the mouth of an ally Dondozo if one is on the field.\n No Pokémon have   as a hidden ability.', 'url': 'https://pokemondb.net/ability/commander'}]",
976,Veluza,90.0 kg (198.4 lbs),2.5 m (8′02″),Water,Psychic,https://pokemondb.net/pokedex/veluza,"[{'nome': 'Mold Breaker', 'text': ""prevents a target's ability from affecting moves that the   Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves. For example, a   with   would be able to hit a   (having  ) using a Ground type move like  . Ground type moves would still not affect Flying types. However, if   KOs a Pokémon with  , a   Pokémon would still lose HP as Aftermath did not affect the   attack itself."", 'url': 'https://pokemondb.net/ability/mold-breaker'}]",
979,Annihilape,56.0 kg (123.5 lbs),1.2 m (3′11″),Fighting,Ghost,https://pokemondb.net/pokedex/annihilape,"[{'nome': 'Vital Spirit', 'text': 'prevents the ability-bearer from falling asleep. This means that it also prevents the use of the move  . If a Pokémon with   is the leading party Pokémon, wild Pokémon are 50% more likely to be higher level.', 'url': 'https://pokemondb.net/ability/vital-spirit'}]","[{'IdEvolucao': '#0056', 'NomeEvolucao': 'Mankey', 'UrlEvolucao': 'https://pokemondb.net/pokedex/mankey'}, {'IdEvolucao': '#0057', 'NomeEvolucao': 'Primeape', 'UrlEvolucao': 'https://pokemondb.net/pokedex/primeape'}, {'IdEvolucao': '#0979', 'NomeEvolucao': 'Annihilape', 'UrlEvolucao': 'https://pokemondb.net/pokedex/annihilape'}]"
983,Kingambit,120.0 kg (264.6 lbs),2.0 m (6′07″),Dark,Steel,https://pokemondb.net/pokedex/kingambit,"[{'nome': 'Defiant', 'text': ""raises the ability-bearer's Attack by two stages when hit by a stat-lowering move. Stats can be raised to a maximum of +6 stages each."", 'url': 'https://pokemondb.net/ability/defiant'}]","[{'IdEvolucao': '#0624', 'NomeEvolucao': 'Pawniard', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pawniard'}, {'IdEvolucao': '#0625', 'NomeEvolucao': 'Bisharp', 'UrlEvolucao': 'https://pokemondb.net/pokedex/bisharp'}, {'IdEvolucao': '#0983', 'NomeEvolucao': 'Kingambit', 'UrlEvolucao': 'https://pokemondb.net/pokedex/kingambit'}]"
980,Clodsire,223.0 kg (491.6 lbs),1.8 m (5′11″),Poison,Ground,https://pokemondb.net/pokedex/clodsire,"[{'nome': 'Water Absorb', 'text': 'A Pokémon with   heals   of its maximum HP when hit by a  -type attack.', 'url': 'https://pokemondb.net/ability/water-absorb'}]","[{'IdEvolucao': '#0194', 'NomeEvolucao': 'Wooper', 'UrlEvolucao': 'https://pokemondb.net/pokedex/wooper'}, {'IdEvolucao': '#0195', 'NomeEvolucao': 'Quagsire', 'UrlEvolucao': 'https://pokemondb.net/pokedex/quagsire'}, {'IdEvolucao': '#0194', 'NomeEvolucao': 'Wooper', 'UrlEvolucao': 'https://pokemondb.net/pokedex/wooper'}, {'IdEvolucao': '#0980', 'NomeEvolucao': 'Clodsire', 'UrlEvolucao': 'https://pokemondb.net/pokedex/clodsire'}]"
973,Flamigo,37.0 kg (81.6 lbs),1.6 m (5′03″),Flying,Fighting,https://pokemondb.net/pokedex/flamigo,"[{'nome': 'Scrappy', 'text': 'Enables moves to hit Ghost-type Pokémon.', 'url': 'https://pokemondb.net/ability/scrappy'}]",
983,Kingambit,120.0 kg (264.6 lbs),2.0 m (6′07″),Dark,Steel,https://pokemondb.net/pokedex/kingambit,"[{'nome': 'Defiant', 'text': ""raises the ability-bearer's Attack by two stages when hit by a stat-lowering move. Stats can be raised to a maximum of +6 stages each."", 'url': 'https://pokemondb.net/ability/defiant'}, {'nome': 'Supreme Overlord', 'text': 'Attack and Special Attack are boosted for each party Pokémon that has been defeated.\n No Pokémon have   as a hidden ability.', 'url': 'https://pokemondb.net/ability/supreme-overlord'}]","[{'IdEvolucao': '#0624', 'NomeEvolucao': 'Pawniard', 'UrlEvolucao': 'https://pokemondb.net/pokedex/pawniard'}, {'IdEvolucao': '#0625', 'NomeEvolucao': 'Bisharp', 'UrlEvolucao': 'https://pokemondb.net/pokedex/bisharp'}, {'IdEvolucao': '#0983', 'NomeEvolucao': 'Kingambit', 'UrlEvolucao': 'https://pokemondb.net/pokedex/kingambit'}]"
971,Greavard,35.0 kg (77.2 lbs),0.6 m (2′00″),Ghost,,https://pokemondb.net/pokedex/greavard,"[{'nome': 'Pickup', 'text': 'When another Pokémon on the field uses a single-use held item, a Pokémon with   will obtain the used item (if they are not already holding anything) and it can be used again. Pokémon with   will also obtain an item thrown at them with   (if they are not already holding anything). In  ,   has no effect in battle. When a battle ends, any party Pokémon with   has a 10% chance of picking up an item (if they are not already holding an item). Items picked up range from Potions, Great Balls, Ultra Balls and Rare Candies up to Leftovers and some TMs. Better items have a lower chance of being found; furthermore, higher-level Pokémon will obtain better items.', 'url': 'https://pokemondb.net/ability/pickup'}]","[{'IdEvolucao': '#0971', 'NomeEvolucao': 'Greavard', 'UrlEvolucao': 'https://pokemondb.net/pokedex/greavard'}, {'IdEvolucao': '#0972', 'NomeEvolucao': 'Houndstone', 'UrlEvolucao': 'https://pokemondb.net/pokedex/houndstone'}]"
